ID;lookupID;Name;Set;Type;Quantity;Raw Price;PSA 10 Price;Raw Total
1938;pokemon-brilliant-stars/piplup-reverse-holo-35;Piplup;[English] Brilliant Stars;Reverse Holo;2;1.19;28.94;2.38
840;pokemon-brilliant-stars/prinplup-36;Prinplup;[English] Brilliant Stars;Normal;1;0.18;24.61;0.18
2213;pokemon-brilliant-stars/professor's-research-147;Professor's Research;[English] Brilliant Stars;Normal;1;0.14;24.79;0.14
408;pokemon-brilliant-stars/purrloin-90;Purrloin;[English] Brilliant Stars;Normal;1;0.1;24.49;0.1
902;pokemon-brilliant-stars/sawk-81;Sawk;[English] Brilliant Stars;Normal;2;0.1;24.46;0.2
58;pokemon-brilliant-stars/shinx-reverse-holo-49;Shinx;[English] Brilliant Stars;Reverse Holo;1;0.42;25.58;0.42
783;pokemon-brilliant-stars/shroomish-3;Shroomish;[English] Brilliant Stars;Normal;2;0.08;24.24;0.16
1255;pokemon-brilliant-stars/sigilyph-66;Sigilyph;[English] Brilliant Stars;Normal;2;0.04;24.3;0.08
1144;pokemon-brilliant-stars/sneasel-reverse-holo-86;Sneasel;[English] Brilliant Stars;Reverse Holo;1;0.2;24.76;0.2
127;pokemon-brilliant-stars/starmie-55;Starmie;[English] Brilliant Stars;Normal;2;0.06;24.4;0.12
1493;pokemon-brilliant-stars/staryu-30;Staryu;[English] Brilliant Stars;Normal;2;0.2;55.99;0.4
3097;pokemon-brilliant-stars/team-yell's-cheer-149;Team Yell's Cheer;[English] Brilliant Stars;Normal;1;0.1;24.4;0.1
1549;pokemon-brilliant-stars/team-yell's-cheer-reverse-holo-149;Team Yell's Cheer;[English] Brilliant Stars;Reverse Holo;1;0.3;27.94;0.3
1591;pokemon-brilliant-stars/throh-80;Throh;[English] Brilliant Stars;Normal;1;0.06;24.58;0.06
2126;pokemon-brilliant-stars/tornadus-reverse-holo-126;Tornadus;[English] Brilliant Stars;Reverse Holo;1;0.5;28.8;0.5
495;pokemon-brilliant-stars/trapinch-74;Trapinch;[English] Brilliant Stars;Normal;2;0.14;28.0;0.28
1315;pokemon-chilling-reign/abomasnow-snowflake-stamp-10;Abomasnow [Snowflake Stamp];[English] Chilling Reign;Normal;1;1.41;0.0;1.41
1789;pokemon-chilling-reign/agatha-129;Agatha;[English] Chilling Reign;Normal;4;0.52;25.98;2.08
534;pokemon-chilling-reign/agatha-reverse-holo-129;Agatha;[English] Chilling Reign;Reverse Holo;1;0.92;27.66;0.92
2333;pokemon-chilling-reign/aggron-111;Aggron;[English] Chilling Reign;Normal;2;1.0;27.86;2.0
600;pokemon-chilling-reign/aron-109;Aron;[English] Chilling Reign;Normal;2;0.95;27.62;1.9
129;pokemon-chilling-reign/aron-reverse-holo-109;Aron;[English] Chilling Reign;Reverse Holo;2;0.93;27.53;1.86
1432;pokemon-chilling-reign/avery-130;Avery;[English] Chilling Reign;Normal;3;1.07;28.08;3.21
466;pokemon-chilling-reign/banette-63;Banette;[English] Chilling Reign;Normal;1;1.04;44.0;1.04
93;pokemon-chilling-reign/blitzle-50;Blitzle;[English] Chilling Reign;Normal;7;0.79;27.02;5.53
1509;pokemon-chilling-reign/bounsweet-13;Bounsweet;[English] Chilling Reign;Normal;1;0.9;27.44;0.9
555;pokemon-chilling-reign/brawly-131;Brawly;[English] Chilling Reign;Normal;1;0.92;27.5;0.92
3183;pokemon-chilling-reign/brawly-212;Brawly;[English] Chilling Reign;Normal;1;3.74;24.4;3.74
825;pokemon-chilling-reign/caitlin-132;Caitlin;[English] Chilling Reign;Normal;2;0.92;27.5;1.84
1503;pokemon-chilling-reign/caitlin-reverse-holo-132;Caitlin;[English] Chilling Reign;Reverse Holo;3;1.59;14.6;4.77
2954;pokemon-chilling-reign/castform-121;Castform;[English] Chilling Reign;Normal;2;1.34;29.11;2.68
1605;pokemon-chilling-reign/castform-rainy-form-33;Castform Rainy Form;[English] Chilling Reign;Normal;2;0.99;27.81;1.98
3519;pokemon-chilling-reign/castform-snowy-form-34;Castform Snowy Form;[English] Chilling Reign;Normal;1;0.94;27.83;0.94
2158;pokemon-chilling-reign/castform-sunny-form-22;Castform Sunny Form;[English] Chilling Reign;Normal;3;1.06;28.42;3.18
497;pokemon-chilling-reign/cinderace-28;Cinderace;[English] Chilling Reign;Normal;1;1.4;40.8;1.4
92;pokemon-chilling-reign/clobbopus-91;Clobbopus;[English] Chilling Reign;Normal;7;0.82;27.14;5.74
2097;pokemon-chilling-reign/crabominable-85;Crabominable;[English] Chilling Reign;Normal;3;0.98;27.74;2.94
141;pokemon-chilling-reign/crabrawler-84;Crabrawler;[English] Chilling Reign;Normal;6;0.79;0.0;4.74
463;pokemon-chilling-reign/cresselia-64;Cresselia;[English] Chilling Reign;Normal;1;1.16;30.1;1.16
510;pokemon-chilling-reign/deerling-reverse-holo-11;Deerling;[English] Chilling Reign;Reverse Holo;1;1.08;28.11;1.08
385;pokemon-chilling-reign/delibird-32;Delibird;[English] Chilling Reign;Normal;3;1.48;59.08;4.44
2660;pokemon-chilling-reign/diglett-76;Diglett;[English] Chilling Reign;Normal;1;1.11;28.23;1.11
1754;pokemon-chilling-reign/doctor-reverse-holo-134;Doctor;[English] Chilling Reign;Reverse Holo;1;1.03;27.93;1.03
921;pokemon-chilling-reign/dugtrio-77;Dugtrio;[English] Chilling Reign;Normal;1;0.92;27.5;0.92
521;pokemon-chilling-reign/dyna-tree-hill-135;Dyna Tree Hill;[English] Chilling Reign;Normal;3;1.06;28.02;3.18
1266;pokemon-chilling-reign/echoing-horn-136;Echoing Horn;[English] Chilling Reign;Normal;4;0.92;27.5;3.68
2689;pokemon-chilling-reign/electrode-222;Electrode;[English] Chilling Reign;Normal;1;10.62;38.9;10.62
609;pokemon-chilling-reign/fire-resistant-gloves-138;Fire Resistant Gloves;[English] Chilling Reign;Normal;4;0.67;27.02;2.68
49;pokemon-chilling-reign/flaaffy-48;Flaaffy;[English] Chilling Reign;Normal;2;0.79;27.02;1.58
2396;pokemon-chilling-reign/flannery-139;Flannery;[English] Chilling Reign;Normal;5;0.8;27.07;4.0
264;pokemon-chilling-reign/fog-crystal-140;Fog Crystal;[English] Chilling Reign;Normal;4;0.93;27.53;3.72
386;pokemon-chilling-reign/furfrou-126;Furfrou;[English] Chilling Reign;Normal;4;1.07;27.56;4.28
2331;pokemon-chilling-reign/galarian-chestplate-141;Galarian Chestplate;[English] Chilling Reign;Normal;1;0.79;0.0;0.79
378;pokemon-chilling-reign/galarian-farfetch'd-78;Galarian Farfetch'd;[English] Chilling Reign;Normal;7;1.05;27.98;7.35
1445;pokemon-chilling-reign/galarian-farfetch'd-reverse-holo-78;Galarian Farfetch'd;[English] Chilling Reign;Reverse Holo;1;0.98;27.56;0.98
722;pokemon-chilling-reign/galarian-sirfetch'd-79;Galarian Sirfetch'd;[English] Chilling Reign;Normal;1;1.42;29.39;1.42
766;pokemon-chilling-reign/galarian-slowking-vmax-100;Galarian Slowking VMAX;[English] Chilling Reign;Normal;3;1.99;24.77;5.97
5;pokemon-chilling-reign/galarian-slowpoke-54;Galarian Slowpoke;[English] Chilling Reign;Normal;9;1.08;12.0;9.72
3126;pokemon-chilling-reign/galarian-weezing-96;Galarian Weezing;[English] Chilling Reign;Normal;1;1.11;28.23;1.11
2767;pokemon-chilling-reign/galarian-weezing-reverse-holo-96;Galarian Weezing;[English] Chilling Reign;Reverse Holo;1;1.29;28.62;1.29
1046;pokemon-chilling-reign/galarian-yamask-82;Galarian Yamask;[English] Chilling Reign;Normal;5;0.94;0.0;4.7
611;pokemon-chilling-reign/gallade-81;Gallade;[English] Chilling Reign;Normal;1;0.79;27.66;0.79
1326;pokemon-chilling-reign/gallade-reverse-holo-81;Gallade;[English] Chilling Reign;Reverse Holo;1;0.99;27.78;0.99
917;pokemon-chilling-reign/gastly-55;Gastly;[English] Chilling Reign;Normal;4;1.08;30.94;4.32
720;pokemon-chilling-reign/golett-65;Golett;[English] Chilling Reign;Normal;1;0.7;0.0;0.7
2888;pokemon-chilling-reign/grapploct-92;Grapploct;[English] Chilling Reign;Normal;1;1.0;27.81;1.0
198;pokemon-chilling-reign/greedent-reverse-holo-128;Greedent;[English] Chilling Reign;Reverse Holo;2;1.02;27.86;2.04
257;pokemon-chilling-reign/grookey-16;Grookey;[English] Chilling Reign;Normal;3;0.87;27.66;2.61
961;pokemon-chilling-reign/grookey-reverse-holo-16;Grookey;[English] Chilling Reign;Reverse Holo;1;1.05;27.99;1.05
1828;pokemon-chilling-reign/hatenna-71;Hatenna;[English] Chilling Reign;Normal;1;0.79;0.0;0.79
3091;pokemon-chilling-reign/hattrem-72;Hattrem;[English] Chilling Reign;Normal;1;0.74;26.8;0.74
63;pokemon-chilling-reign/haunter-56;Haunter;[English] Chilling Reign;Normal;3;1.19;32.0;3.57
1182;pokemon-chilling-reign/haunter-reverse-holo-56;Haunter;[English] Chilling Reign;Reverse Holo;1;1.62;30.06;1.62
484;pokemon-chilling-reign/heracross-6;Heracross;[English] Chilling Reign;Normal;5;0.95;11.2;4.75
455;pokemon-chilling-reign/honey-142;Honey;[English] Chilling Reign;Normal;2;0.8;27.56;1.6
2974;pokemon-chilling-reign/ice-rider-calyrex-vmax-46;Ice Rider Calyrex VMAX;[English] Chilling Reign;Normal;1;1.45;23.97;1.45
3757;pokemon-chilling-reign/impact-energy-prize-pack-1-157;Impact Energy [Prize Pack 1];[English] Chilling Reign;Normal;1;0.0;0.0;0.0
1317;pokemon-chilling-reign/inkay-69;Inkay;[English] Chilling Reign;Normal;1;0.79;44.44;0.79
1147;pokemon-chilling-reign/inkay-reverse-holo-69;Inkay;[English] Chilling Reign;Reverse Holo;1;0.83;27.02;0.83
624;pokemon-chilling-reign/inteleon-43;Inteleon;[English] Chilling Reign;Normal;1;1.07;0.0;1.07
2390;pokemon-chilling-reign/justified-gloves-143;Justified Gloves;[English] Chilling Reign;Normal;1;0.79;27.74;0.79
29;pokemon-chilling-reign/justified-gloves-reverse-holo-143;Justified Gloves;[English] Chilling Reign;Reverse Holo;1;0.92;27.5;0.92
131;pokemon-chilling-reign/kakuna-2;Kakuna;[English] Chilling Reign;Normal;3;0.94;27.02;2.82
2981;pokemon-chilling-reign/karen's-conviction-144;Karen's Conviction;[English] Chilling Reign;Normal;2;0.79;27.02;1.58
281;pokemon-chilling-reign/karen's-conviction-216;Karen's Conviction;[English] Chilling Reign;Normal;1;5.6;33.6;5.6
2569;pokemon-chilling-reign/kecleon-122;Kecleon;[English] Chilling Reign;Normal;1;1.02;13.2;1.02
2948;pokemon-chilling-reign/kirlia-60;Kirlia;[English] Chilling Reign;Normal;1;1.16;28.08;1.16
126;pokemon-chilling-reign/klara-145;Klara;[English] Chilling Reign;Normal;2;1.15;22.59;2.3
35;pokemon-chilling-reign/klara-reverse-holo-145;Klara;[English] Chilling Reign;Reverse Holo;4;0.94;35.99;3.76
80;pokemon-chilling-reign/koffing-94;Koffing;[English] Chilling Reign;Normal;11;0.78;39.99;8.58
620;pokemon-chilling-reign/kubfu-93;Kubfu;[English] Chilling Reign;Normal;6;0.84;27.35;5.04
192;pokemon-chilling-reign/lairon-110;Lairon;[English] Chilling Reign;Normal;4;0.74;25.67;2.96
3732;pokemon-chilling-reign/lapras-29;Lapras;[English] Chilling Reign;Normal;1;0.84;27.2;0.84
3204;pokemon-chilling-reign/ledian-5;Ledian;[English] Chilling Reign;Normal;1;0.79;27.02;0.79
874;pokemon-chilling-reign/ledyba-4;Ledyba;[English] Chilling Reign;Normal;2;0.6;26.26;1.2
23;pokemon-chilling-reign/lucky-energy-158;Lucky Energy;[English] Chilling Reign;Normal;2;1.13;28.3;2.26
993;pokemon-chilling-reign/lycanroc-holo-87;Lycanroc;[English] Chilling Reign;Holo;3;1.07;80.0;3.21
8;pokemon-chilling-reign/mareep-47;Mareep;[English] Chilling Reign;Normal;2;0.66;27.1;1.32
2245;pokemon-chilling-reign/metagross-vmax-113;Metagross VMAX;[English] Chilling Reign;Normal;1;2.24;34.49;2.24
973;pokemon-chilling-reign/old-cemetery-147;Old Cemetery;[English] Chilling Reign;Normal;1;1.0;27.81;1.0
2629;pokemon-chilling-reign/old-cemetery-reverse-holo-147;Old Cemetery;[English] Chilling Reign;Reverse Holo;1;1.53;29.85;1.53
844;pokemon-chilling-reign/peonia-149;Peonia;[English] Chilling Reign;Normal;5;0.96;27.66;4.8
794;pokemon-chilling-reign/peony-150;Peony;[English] Chilling Reign;Normal;3;0.95;27.62;2.85
670;pokemon-chilling-reign/peony-reverse-holo-150;Peony;[English] Chilling Reign;Reverse Holo;1;0.98;27.74;0.98
894;pokemon-chilling-reign/porygon-116;Porygon;[English] Chilling Reign;Normal;5;1.14;28.35;5.7
1539;pokemon-chilling-reign/porygon-z-118;Porygon-Z;[English] Chilling Reign;Normal;1;1.28;37.08;1.28
988;pokemon-chilling-reign/porygon2-117;Porygon2;[English] Chilling Reign;Normal;3;1.02;27.9;3.06
933;pokemon-chilling-reign/qwilfish-101;Qwilfish;[English] Chilling Reign;Normal;7;0.83;27.17;5.81
1808;pokemon-chilling-reign/raboot-27;Raboot;[English] Chilling Reign;Normal;3;1.1;28.05;3.3
402;pokemon-chilling-reign/ralts-59;Ralts;[English] Chilling Reign;Normal;5;1.01;12.8;5.05
2156;pokemon-chilling-reign/rapid-strike-scroll-of-the-skies-151;Rapid Strike Scroll of the Skies;[English] Chilling Reign;Normal;5;0.92;27.5;4.6
2317;pokemon-chilling-reign/rockruff-86;Rockruff;[English] Chilling Reign;Normal;1;1.0;12.0;1.0
3430;pokemon-chilling-reign/sawsbuck-12;Sawsbuck;[English] Chilling Reign;Normal;1;1.03;27.86;1.03
1737;pokemon-chilling-reign/scolipede-107;Scolipede;[English] Chilling Reign;Normal;1;0.99;27.78;0.99
90;pokemon-chilling-reign/scorbunny-26;Scorbunny;[English] Chilling Reign;Normal;3;0.9;27.44;2.7
477;pokemon-chilling-reign/sealeo-38;Sealeo;[English] Chilling Reign;Normal;4;0.94;0.0;3.76
890;pokemon-chilling-reign/seviper-102;Seviper;[English] Chilling Reign;Normal;1;0.87;27.56;0.87
817;pokemon-chilling-reign/shuppet-62;Shuppet;[English] Chilling Reign;Normal;2;0.79;6.0;1.58
1773;pokemon-chilling-reign/siebold-reverse-holo-153;Siebold;[English] Chilling Reign;Reverse Holo;1;1.07;28.08;1.07
3;pokemon-chilling-reign/single-strike-scroll-of-piercing-154;Single Strike Scroll of Piercing;[English] Chilling Reign;Normal;2;1.08;0.0;2.16
2996;pokemon-chilling-reign/skwovet-127;Skwovet;[English] Chilling Reign;Normal;3;0.82;27.14;2.46
1761;pokemon-chilling-reign/slurpuff-68;Slurpuff;[English] Chilling Reign;Normal;2;0.83;28.14;1.66
148;pokemon-chilling-reign/sneasel-30;Sneasel;[English] Chilling Reign;Normal;6;0.9;27.41;5.4
1;pokemon-chilling-reign/snorunt-35;Snorunt;[English] Chilling Reign;Normal;5;1.23;0.0;6.15
2151;pokemon-chilling-reign/snorunt-reverse-holo-35;Snorunt;[English] Chilling Reign;Reverse Holo;1;1.13;28.3;1.13
316;pokemon-chilling-reign/snover-9;Snover;[English] Chilling Reign;Normal;4;0.79;27.02;3.16
1557;pokemon-chilling-reign/sobble-41;Sobble;[English] Chilling Reign;Normal;5;1.17;28.45;5.85
73;pokemon-chilling-reign/spheal-37;Spheal;[English] Chilling Reign;Normal;1;0.2;25.31;0.2
1180;pokemon-chilling-reign/spiral-energy-159;Spiral Energy;[English] Chilling Reign;Normal;4;1.0;27.81;4.0
2790;pokemon-chilling-reign/steenee-14;Steenee;[English] Chilling Reign;Normal;1;1.19;28.14;1.19
1011;pokemon-chilling-reign/steenee-reverse-holo-14;Steenee;[English] Chilling Reign;Reverse Holo;1;0.8;27.56;0.8
982;pokemon-chilling-reign/swirlix-67;Swirlix;[English] Chilling Reign;Normal;4;1.03;28.02;4.12
1450;pokemon-chilling-reign/thundurus-52;Thundurus;[English] Chilling Reign;Normal;1;1.18;28.47;1.18
1716;pokemon-chilling-reign/thundurus-reverse-holo-52;Thundurus;[English] Chilling Reign;Reverse Holo;1;1.36;29.18;1.36
3124;pokemon-chilling-reign/tsareena-15;Tsareena;[English] Chilling Reign;Normal;1;1.04;27.96;1.04
159;pokemon-chilling-reign/venipede-105;Venipede;[English] Chilling Reign;Normal;5;0.72;27.41;3.6
1353;pokemon-chilling-reign/volcanion-v-25;Volcanion V;[English] Chilling Reign;Normal;1;1.0;16.4;1.0
2752;pokemon-chilling-reign/volcarona-24;Volcarona;[English] Chilling Reign;Normal;1;1.05;27.99;1.05
2567;pokemon-chilling-reign/walrein-39;Walrein;[English] Chilling Reign;Normal;1;1.04;27.96;1.04
1558;pokemon-chilling-reign/weeding-gloves-155;Weeding Gloves;[English] Chilling Reign;Normal;2;0.8;0.0;1.6
161;pokemon-chilling-reign/weedle-1;Weedle;[English] Chilling Reign;Normal;6;1.06;28.05;6.36
538;pokemon-chilling-reign/weezing-reverse-holo-95;Weezing;[English] Chilling Reign;Reverse Holo;1;1.16;28.23;1.16
171;pokemon-chilling-reign/whirlipede-106;Whirlipede;[English] Chilling Reign;Normal;7;0.8;27.05;5.6
54;pokemon-chilling-reign/zebstrika-reverse-holo-51;Zebstrika;[English] Chilling Reign;Reverse Holo;1;0.95;27.56;0.95
377;pokemon-crown-zenith/absol-reverse-holo-76;Absol;[English] Crown Zenith;Reverse Holo;1;1.43;29.66;1.43
1428;pokemon-crown-zenith/altaria-gg19;Altaria #GG19;[English] Crown Zenith;Normal;1;3.4;52.0;3.4
985;pokemon-crown-zenith/aron-87;Aron;[English] Crown Zenith;Normal;5;0.88;27.46;4.4
967;pokemon-crown-zenith/baltoy-70;Baltoy;[English] Crown Zenith;Normal;5;0.29;0.0;1.45
2125;pokemon-crown-zenith/baltoy-reverse-holo-70;Baltoy;[English] Crown Zenith;Reverse Holo;1;1.06;28.15;1.06
2354;pokemon-crown-zenith/bea-123;Bea;[English] Crown Zenith;Normal;1;1.45;24.14;1.45
420;pokemon-crown-zenith/bellossom-3;Bellossom;[English] Crown Zenith;Normal;4;0.98;27.68;3.92
119;pokemon-crown-zenith/bidoof-111;Bidoof;[English] Crown Zenith;Normal;3;0.79;27.11;2.37
132;pokemon-crown-zenith/bisharp-93;Bisharp;[English] Crown Zenith;Normal;6;0.79;27.11;4.74
1758;pokemon-crown-zenith/carnivine-12;Carnivine;[English] Crown Zenith;Normal;2;0.75;26.93;1.5
94;pokemon-crown-zenith/chatot-112;Chatot;[English] Crown Zenith;Normal;3;0.8;27.14;2.4
687;pokemon-crown-zenith/cherubi-11;Cherubi;[English] Crown Zenith;Normal;2;0.8;27.14;1.6
1642;pokemon-crown-zenith/cherubi-reverse-holo-11;Cherubi;[English] Crown Zenith;Reverse Holo;1;1.35;29.31;1.35
1806;pokemon-crown-zenith/corphish-33;Corphish;[English] Crown Zenith;Normal;4;1.07;0.0;4.28
641;pokemon-crown-zenith/corphish-reverse-holo-33;Corphish;[English] Crown Zenith;Reverse Holo;1;1.26;28.97;1.26
3445;pokemon-crown-zenith/crushing-hammer-125;Crushing Hammer;[English] Crown Zenith;Normal;1;0.85;27.34;0.85
864;pokemon-crown-zenith/digging-duo-126;Digging Duo;[English] Crown Zenith;Normal;4;1.19;0.0;4.76
1007;pokemon-crown-zenith/ditto-107;Ditto;[English] Crown Zenith;Normal;3;1.85;30.98;5.55
1977;pokemon-crown-zenith/dragalge-82;Dragalge;[English] Crown Zenith;Normal;4;1.06;28.18;4.24
121;pokemon-crown-zenith/dubwool-122;Dubwool;[English] Crown Zenith;Normal;5;0.9;27.52;4.5
1098;pokemon-crown-zenith/dunsparce-gg23;Dunsparce #GG23;[English] Crown Zenith;Normal;1;1.86;38.74;1.86
1001;pokemon-crown-zenith/dusclops-63;Dusclops;[English] Crown Zenith;Normal;4;0.79;27.11;3.16
915;pokemon-crown-zenith/eelektrik-48;Eelektrik;[English] Crown Zenith;Normal;5;0.73;0.0;3.65
700;pokemon-crown-zenith/eevee-v-108;Eevee V;[English] Crown Zenith;Normal;1;2.73;38.41;2.73
74;pokemon-crown-zenith/emolga-47;Emolga;[English] Crown Zenith;Normal;5;0.84;27.3;4.2
2719;pokemon-crown-zenith/enamorus-67;Enamorus;[English] Crown Zenith;Normal;2;0.99;27.3;1.98
261;pokemon-crown-zenith/energy-retrieval-127;Energy Retrieval;[English] Crown Zenith;Normal;1;0.96;27.78;0.96
2739;pokemon-crown-zenith/energy-search-128;Energy Search;[English] Crown Zenith;Normal;2;1.08;28.25;2.16
19;pokemon-crown-zenith/energy-switch-129;Energy Switch;[English] Crown Zenith;Normal;3;0.79;27.11;2.37
800;pokemon-crown-zenith/exeggcute-57;Exeggcute;[English] Crown Zenith;Normal;4;0.81;0.0;3.24
