id,lookupid,set number,Availability
33,pokemon-japanese-glory-of-team-rocket/pineco-1,1,
34,pokemon-japanese-glory-of-team-rocket/primeape-46,46,
35,pokemon-japanese-glory-of-team-rocket/probopass-52,52,
36,pokemon-japanese-glory-of-team-rocket/regirock-ex-115,115,
37,pokemon-japanese-glory-of-team-rocket/regirock-ex-55,55,
38,pokemon-japanese-glory-of-team-rocket/shroomish-2,2,
39,pokemon-japanese-glory-of-team-rocket/skarmory-74,74,
40,pokemon-japanese-glory-of-team-rocket/smoliv-10,10,
41,pokemon-japanese-glory-of-team-rocket/snover-26,26,
42,pokemon-japanese-glory-of-team-rocket/squawkabilly-86,86,
43,pokemon-japanese-glory-of-team-rocket/swellow-85,85,
44,pokemon-japanese-glory-of-team-rocket/taillow-84,84,
45,pokemon-japanese-glory-of-team-rocket/team-rocket's-ampharos-36,36,
46,pokemon-japanese-glory-of-team-rocket/team-rocket's-articuno-22,22,
47,pokemon-japanese-glory-of-team-rocket/team-rocket's-blipbug-7,7,
48,pokemon-japanese-glory-of-team-rocket/team-rocket's-chingling-41,41,
49,pokemon-japanese-glory-of-team-rocket/team-rocket's-dottler-43,43,
50,pokemon-japanese-glory-of-team-rocket/team-rocket's-drowzee-37,37,
51,pokemon-japanese-glory-of-team-rocket/team-rocket's-flaafy-35,35,
52,pokemon-japanese-glory-of-team-rocket/team-rocket's-houndoom-17,17,
53,pokemon-japanese-glory-of-team-rocket/team-rocket's-houndour-16,16,
54,pokemon-japanese-glory-of-team-rocket/team-rocket's-hypno-38,38,
55,pokemon-japanese-glory-of-team-rocket/team-rocket's-larvitar-48,48,
56,pokemon-japanese-glory-of-team-rocket/team-rocket's-mareep-34,34,
57,pokemon-japanese-glory-of-team-rocket/team-rocket's-mewtwo-ex-39,39,
58,pokemon-japanese-glory-of-team-rocket/team-rocket's-mimikyu-42,42,
59,pokemon-japanese-glory-of-team-rocket/team-rocket's-moltres-ex-15,15,
60,pokemon-japanese-glory-of-team-rocket/team-rocket's-pupitar-49,49,
61,pokemon-japanese-glory-of-team-rocket/team-rocket's-spidops-9,9,
62,pokemon-japanese-glory-of-team-rocket/team-rocket's-tarountula-8,8,
63,pokemon-japanese-glory-of-team-rocket/team-rocket's-tyranitar-50,50,
64,pokemon-japanese-glory-of-team-rocket/team-rocket's-wobbuffet-40,40,
65,pokemon-japanese-glory-of-team-rocket/team-rocket's-zapdos-33,33,
66,pokemon-japanese-glory-of-team-rocket/team-rocket's-arbok-57,57,
67,pokemon-japanese-glory-of-team-rocket/team-rocket's-archer-120,120,
68,pokemon-japanese-glory-of-team-rocket/team-rocket's-archer-92,92,
69,pokemon-japanese-glory-of-team-rocket/team-rocket's-ariana-119,119,
70,pokemon-japanese-glory-of-team-rocket/team-rocket's-ariana-128,128,
71,pokemon-japanese-glory-of-team-rocket/team-rocket's-ariana-91,91,
72,pokemon-japanese-glory-of-team-rocket/team-rocket's-crobat-ex-117,117,
73,pokemon-japanese-glory-of-team-rocket/team-rocket's-crobat-ex-127,127,
74,pokemon-japanese-glory-of-team-rocket/team-rocket's-crobat-ex-131,131,
75,pokemon-japanese-glory-of-team-rocket/team-rocket's-crobat-ex-66,66,
76,pokemon-japanese-glory-of-team-rocket/team-rocket's-ekans-56,56,
77,pokemon-japanese-glory-of-team-rocket/team-rocket's-factory-97,97,
78,pokemon-japanese-glory-of-team-rocket/team-rocket's-giovanni-121,121,
79,pokemon-japanese-glory-of-team-rocket/team-rocket's-giovanni-129,129,
80,pokemon-japanese-glory-of-team-rocket/team-rocket's-giovanni-93,93,
81,pokemon-japanese-glory-of-team-rocket/team-rocket's-golbat-65,65,
82,pokemon-japanese-glory-of-team-rocket/team-rocket's-great-ball-88,88,
83,pokemon-japanese-glory-of-team-rocket/team-rocket's-grimer-67,67,
84,pokemon-japanese-glory-of-team-rocket/team-rocket's-hindering-robo-87,87,
85,pokemon-japanese-glory-of-team-rocket/team-rocket's-houndoom-100,100,
86,pokemon-japanese-glory-of-team-rocket/team-rocket's-koffing-69,69,
87,pokemon-japanese-glory-of-team-rocket/team-rocket's-meowth-109,109,
88,pokemon-japanese-glory-of-team-rocket/team-rocket's-meowth-78,78,
89,pokemon-japanese-glory-of-team-rocket/team-rocket's-mewtwo-ex-114,114,
90,pokemon-japanese-glory-of-team-rocket/team-rocket's-mewtwo-ex-125,125,
91,pokemon-japanese-glory-of-team-rocket/team-rocket's-mewtwo-ex-130,130,
92,pokemon-japanese-glory-of-team-rocket/team-rocket's-moltres-ex-112,112,
93,pokemon-japanese-glory-of-team-rocket/team-rocket's-moltres-ex-124,124,
94,pokemon-japanese-glory-of-team-rocket/team-rocket's-muk-68,68,
95,pokemon-japanese-glory-of-team-rocket/team-rocket's-murkrow-106,106,
96,pokemon-japanese-glory-of-team-rocket/team-rocket's-murkrow-71,71,
97,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidoking-ex-116,116,
98,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidoking-ex-126,126,
99,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidoking-ex-63,63,
100,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidoqueen-60,60,
101,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidoran-58,58,
102,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidoran-61,61,
103,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidorina-59,59,
104,pokemon-japanese-glory-of-team-rocket/team-rocket's-nidorino-62,62,
105,pokemon-japanese-glory-of-team-rocket/team-rocket's-orbeetle-104,104,
106,pokemon-japanese-glory-of-team-rocket/team-rocket's-persian-ex-118,118,
107,pokemon-japanese-glory-of-team-rocket/team-rocket's-persian-ex-79,79,
108,pokemon-japanese-glory-of-team-rocket/team-rocket's-petrel-122,122,
109,pokemon-japanese-glory-of-team-rocket/team-rocket's-petrel-94,94,
110,pokemon-japanese-glory-of-team-rocket/team-rocket's-porygon-2-82,82,
111,pokemon-japanese-glory-of-team-rocket/team-rocket's-porygon-81,81,
112,pokemon-japanese-glory-of-team-rocket/team-rocket's-porygon-z-83,83,
113,pokemon-japanese-glory-of-team-rocket/team-rocket's-proton-123,123,
114,pokemon-japanese-glory-of-team-rocket/team-rocket's-proton-95,95,
115,pokemon-japanese-glory-of-team-rocket/team-rocket's-raticate-108,108,
116,pokemon-japanese-glory-of-team-rocket/team-rocket's-raticate-77,77,
117,pokemon-japanese-glory-of-team-rocket/team-rocket's-rattata-76,76,
118,pokemon-japanese-glory-of-team-rocket/team-rocket's-receiver-90,90,
119,pokemon-japanese-glory-of-team-rocket/team-rocket's-sneasel-72,72,
120,pokemon-japanese-glory-of-team-rocket/team-rocket's-spidops-99,99,
121,pokemon-japanese-glory-of-team-rocket/team-rocket's-venture-bomb-89,89,
122,pokemon-japanese-glory-of-team-rocket/team-rocket's-watchtower-96,96,
123,pokemon-japanese-glory-of-team-rocket/team-rocket's-weezing-105,105,
124,pokemon-japanese-glory-of-team-rocket/team-rocket's-weezing-70,70,
125,pokemon-japanese-glory-of-team-rocket/team-rocket's-wobbuffet-103,103,
126,pokemon-japanese-glory-of-team-rocket/team-rocket's-zubat-64,64,
127,pokemon-japanese-glory-of-team-rocket/team-rocket-energy-98,98,
128,pokemon-japanese-glory-of-team-rocket/team-rockets-orbeetle-44,44,
129,pokemon-japanese-glory-of-team-rocket/torchic-18,18,
130,pokemon-japanese-glory-of-team-rocket/wash-rotom-28,28,
131,pokemon-japanese-glory-of-team-rocket/zamazenta-107,107,
132,pokemon-japanese-glory-of-team-rocket/zamazenta-75,75,
